stem,slice,transform,dilate_px,decision,timestamp
2022_03_21_11_02_58_05,0,transpose,2,approve,1762342612
2022_03_21_11_02_58_14,0,transpose,2,approve,1762342614
2022_03_21_11_02_58_22,0,id,2,no_infection,1762342646
2022_03_21_11_02_58_31,0,id,2,no_infection,1762342649
2022_03_21_11_02_58_39,0,transpose,2,approve,1762342675
2022_03_21_11_02_58_47,0,transpose,2,no_infection,1762342678
2022_03_21_11_02_58_56,0,transpose,2,approve,1762342680
2022_03_21_11_02_58_64,0,transpose,2,approve,1762342681
2022_03_21_11_02_58_72,0,transpose,2,approve,1762342693
2022_03_21_11_02_58_89,0,transpose,2,no_infection,1762342694
2022_03_21_11_02_58_98,0,transpose,2,approve,1762342696
2022_03_21_11_02_59_14,0,transpose,2,approve,1762342697
2022_03_21_11_02_59_23,0,transpose,2,approve,1762342701
2022_03_21_11_02_59_32,0,transpose,2,approve,1762342703
2022_03_21_11_02_59_40,0,transpose,2,approve,1762342724
2022_03_21_11_02_59_48,0,transpose,2,approve,1762342726
2022_03_21_11_02_59_57,0,transpose,2,approve,1762342727
2022_03_21_11_02_59_65,0,transpose,2,approve,1762342728
2022_03_21_11_02_59_73,0,transpose,2,approve,1762342729
2022_03_21_11_02_59_82,0,transpose,2,approve,1762342733
2022_03_21_11_02_59_90,0,transpose,2,approve,1762342739
2022_03_21_11_02_59_98,0,transpose,2,approve,1762342819
2022_03_21_11_03_00_36,0,transpose,2,approve,1762342821
2022_03_21_11_03_00_42,0,transpose,2,approve,1762342824
2022_03_21_11_03_00_49,0,transpose,2,approve,1762342826
2022_03_21_11_03_00_57,0,transpose,2,approve,1762342827
2022_03_21_11_03_00_65,0,transpose,2,approve,1762342941
2022_03_21_11_03_00_73,0,transpose,2,approve,1762342942
2022_03_21_11_03_00_82,0,transpose,2,approve,1762342951
2022_03_21_11_03_00_90,0,transpose,2,approve,1762342954
2022_03_21_11_03_00_98,0,transpose,2,approve,1762343009
2022_03_21_11_03_01_07,0,transpose,2,approve,1762343013
2022_03_21_11_03_01_15,0,transpose,2,approve,1762343014
2022_03_21_11_03_01_23,0,transpose,2,approve,1762343015
2022_03_21_11_03_01_32,0,transpose,2,approve,1762343017
2022_03_21_11_03_01_40,0,transpose,2,approve,1762343019
2022_03_21_11_03_01_57,0,transpose,2,approve,1762343021
2022_03_21_11_03_01_70,0,transpose,2,approve,1762343022
2022_03_21_11_03_01_77,0,transpose,2,approve,1762343237
2022_03_21_11_03_01_84,0,transpose,2,approve,1762343253
2022_03_21_11_03_01_90,0,transpose,2,approve,1762343258
2022_03_21_11_03_02_11,0,transpose,2,approve,1762343260
2022_03_21_11_03_02_17,0,transpose,2,approve,1762343262
2022_03_21_11_03_02_31,0,transpose,2,approve,1762343263
2022_03_21_11_03_02_39,0,transpose,2,approve,1762343264
2022_03_21_11_03_02_47,0,transpose,2,approve,1762343265
2022_03_21_11_03_02_56,0,transpose,2,approve,1762343269
2022_03_21_11_03_02_72,0,transpose,2,approve,1762343275
2022_03_21_11_03_02_81,0,transpose,2,approve,1762343283
2022_03_21_11_03_02_89,0,transpose,2,approve,1762343284
2022_03_21_11_03_02_97,0,transpose,2,approve,1762343286
2022_03_21_11_03_03_06,0,transpose,2,approve,1762343287
2022_03_21_11_03_03_14,0,transpose,2,approve,1762343289
2022_03_21_11_03_03_23,0,transpose,2,approve,1762343303
2022_03_21_11_03_03_31,0,transpose,2,approve,1762343305
2022_03_21_11_03_03_40,0,transpose,2,approve,1762343308
2022_03_21_11_03_03_48,0,transpose,2,approve,1762343320
2022_03_21_11_03_03_56,0,transpose,2,approve,1762343322
2022_03_21_11_03_03_65,0,transpose,2,approve,1762343331
2022_03_21_11_03_03_73,0,transpose,2,approve,1762343337
2022_03_21_11_03_03_82,0,transpose,2,approve,1762343355
2022_03_21_11_03_03_90,0,transpose,2,approve,1762343356
2022_03_21_11_03_04_05,0,transpose,2,approve,1762343359
2022_03_21_11_03_04_13,0,transpose,2,approve,1762343360
2022_03_21_11_03_04_19,0,transpose,2,approve,1762343361
2022_03_21_11_03_04_26,0,transpose,2,approve,1762343362
2022_03_21_11_03_04_33,0,transpose,2,approve,1762343363
2022_03_21_11_03_04_46,0,transpose,2,approve,1762343374
2022_03_21_11_03_04_52,0,transpose,2,approve,1762343380
2022_03_21_11_03_04_60,0,transpose,2,approve,1762343381
2022_03_21_11_03_04_73,0,transpose,2,approve,1762343387
2022_03_21_11_03_04_79,0,transpose,2,approve,1762343389
2022_03_21_11_03_04_93,0,transpose,2,approve,1762343391
2022_03_21_11_03_05_06,0,transpose,2,approve,1762343399
