image,transform,align_score,mode,status
2022_03_21_11_02_58_05,id,2392,cellwise,ok
2022_03_21_11_02_58_14,id,3238,cellwise,ok
2022_03_21_11_02_58_22,id,0,cellwise,empty
2022_03_21_11_02_58_31,id,0,cellwise,empty
2022_03_21_11_02_58_39,id,2857,cellwise,ok
2022_03_21_11_02_58_47,id,4595,cellwise,ok
2022_03_21_11_02_58_56,id,0,cellwise,empty
2022_03_21_11_02_58_64,id,0,cellwise,empty
2022_03_21_11_02_58_72,id,0,cellwise,empty
2022_03_21_11_02_58_89,id,0,cellwise,empty
2022_03_21_11_02_58_98,id,0,cellwise,empty
2022_03_21_11_02_59_14,id,0,cellwise,empty
2022_03_21_11_02_59_23,id,3146,cellwise,ok
2022_03_21_11_02_59_32,id,0,cellwise,empty
2022_03_21_11_02_59_40,id,3690,cellwise,ok
2022_03_21_11_02_59_48,id,2245,cellwise,ok
2022_03_21_11_02_59_57,id,3092,cellwise,ok
2022_03_21_11_02_59_65,id,0,cellwise,empty
2022_03_21_11_02_59_73,id,0,cellwise,empty
2022_03_21_11_02_59_82,id,0,cellwise,empty
2022_03_21_11_02_59_90,id,0,cellwise,empty
2022_03_21_11_02_59_98,transpose,2693,cellwise,ok
2022_03_21_11_03_00_36,id,0,cellwise,empty
2022_03_21_11_03_00_42,id,0,cellwise,empty
2022_03_21_11_03_00_49,id,2191,cellwise,ok
2022_03_21_11_03_00_57,id,0,cellwise,empty
2022_03_21_11_03_00_65,id,0,cellwise,empty
2022_03_21_11_03_00_73,id,4456,cellwise,ok
2022_03_21_11_03_00_82,id,2512,cellwise,ok
2022_03_21_11_03_00_90,id,6213,cellwise,ok
2022_03_21_11_03_00_98,id,2516,cellwise,ok
2022_03_21_11_03_01_07,id,1632,cellwise,ok
2022_03_21_11_03_01_15,id,2298,cellwise,ok
2022_03_21_11_03_01_23,id,0,cellwise,empty
2022_03_21_11_03_01_32,id,5592,cellwise,ok
2022_03_21_11_03_01_40,id,0,cellwise,empty
2022_03_21_11_03_01_57,id,2489,cellwise,ok
2022_03_21_11_03_01_70,id,2596,cellwise,ok
2022_03_21_11_03_01_77,id,1857,cellwise,ok
2022_03_21_11_03_01_84,id,0,cellwise,empty
2022_03_21_11_03_01_90,id,0,cellwise,empty
2022_03_21_11_03_02_11,id,0,cellwise,empty
2022_03_21_11_03_02_17,id,6011,cellwise,ok
2022_03_21_11_03_02_31,id,0,cellwise,empty
2022_03_21_11_03_02_39,id,0,cellwise,empty
2022_03_21_11_03_02_47,id,0,cellwise,empty
2022_03_21_11_03_02_56,id,1796,cellwise,ok
2022_03_21_11_03_02_72,id,0,cellwise,empty
2022_03_21_11_03_02_81,id,0,cellwise,empty
2022_03_21_11_03_02_89,id,3206,cellwise,ok
2022_03_21_11_03_02_97,id,0,cellwise,empty
2022_03_21_11_03_03_06,id,1794,cellwise,ok
2022_03_21_11_03_03_14,id,2509,cellwise,ok
2022_03_21_11_03_03_23,id,0,cellwise,empty
2022_03_21_11_03_03_31,id,0,cellwise,empty
2022_03_21_11_03_03_40,id,0,cellwise,empty
2022_03_21_11_03_03_48,id,0,cellwise,empty
2022_03_21_11_03_03_56,id,0,cellwise,empty
2022_03_21_11_03_03_65,id,3521,cellwise,ok
2022_03_21_11_03_03_73,id,0,cellwise,empty
2022_03_21_11_03_03_82,id,0,cellwise,empty
2022_03_21_11_03_03_90,id,0,cellwise,empty
2022_03_21_11_03_04_05,id,2811,cellwise,ok
2022_03_21_11_03_04_13,id,0,cellwise,empty
2022_03_21_11_03_04_19,id,2735,cellwise,ok
2022_03_21_11_03_04_26,id,0,cellwise,empty
2022_03_21_11_03_04_33,id,2788,cellwise,ok
2022_03_21_11_03_04_46,id,2954,cellwise,ok
2022_03_21_11_03_04_52,id,0,cellwise,empty
2022_03_21_11_03_04_60,id,5982,cellwise,ok
2022_03_21_11_03_04_73,id,3078,cellwise,ok
2022_03_21_11_03_04_79,id,0,cellwise,empty
2022_03_21_11_03_04_93,id,2890,cellwise,ok
2022_03_21_11_03_05_06,id,2715,cellwise,ok
2022_03_21_11_03_05_20,id,0,cellwise,empty
