image,slice,transform,score,nii_status
2022_03_21_11_02_58_05,0,transpose,2099,ok
2022_03_21_11_02_58_14,0,transpose,1776,ok
2022_03_21_11_02_58_22,0,id,60730,ok
2022_03_21_11_02_58_31,0,id,46052,ok
2022_03_21_11_02_58_39,0,transpose,5175,ok
2022_03_21_11_02_58_47,0,id,54722,ok
2022_03_21_11_02_58_56,0,transpose,4304,ok
2022_03_21_11_02_58_64,0,transpose,1772,ok
2022_03_21_11_02_58_72,0,transpose,3108,ok
2022_03_21_11_02_58_89,0,id,69806,ok
2022_03_21_11_02_58_98,0,transpose,5347,ok
2022_03_21_11_02_59_14,0,transpose,1716,ok
2022_03_21_11_02_59_23,0,transpose,14319,ok
2022_03_21_11_02_59_32,0,transpose,2943,ok
2022_03_21_11_02_59_40,0,transpose,4506,ok
2022_03_21_11_02_59_48,0,transpose,4324,ok
2022_03_21_11_02_59_57,0,transpose,6635,ok
2022_03_21_11_02_59_65,0,fliplr,202,ok
2022_03_21_11_02_59_73,0,transpose,3782,ok
2022_03_21_11_02_59_82,0,transpose,11700,ok
2022_03_21_11_02_59_90,0,transpose,9134,ok
2022_03_21_11_02_59_98,0,transpose,1757,ok
2022_03_21_11_03_00_36,0,transpose,4990,ok
2022_03_21_11_03_00_42,0,transpose,10493,ok
2022_03_21_11_03_00_49,0,transpose,8654,ok
2022_03_21_11_03_00_57,0,transpose,4348,ok
2022_03_21_11_03_00_65,0,id,0,ok
2022_03_21_11_03_00_73,0,transpose,5587,ok
2022_03_21_11_03_00_82,0,transpose,12381,ok
2022_03_21_11_03_00_90,0,transpose,9024,ok
2022_03_21_11_03_00_98,0,transpose,11268,ok
2022_03_21_11_03_01_07,0,transpose,770,ok
2022_03_21_11_03_01_15,0,transpose,7089,ok
2022_03_21_11_03_01_23,0,transpose,3267,ok
2022_03_21_11_03_01_32,0,transpose,3745,ok
2022_03_21_11_03_01_40,0,transpose,3024,ok
2022_03_21_11_03_01_57,0,transpose,9829,ok
2022_03_21_11_03_01_70,0,transpose,4504,ok
2022_03_21_11_03_01_77,0,transpose,2552,ok
2022_03_21_11_03_01_84,0,rot270,2798,ok
2022_03_21_11_03_01_90,0,transpose,2504,ok
2022_03_21_11_03_02_11,0,transpose,9388,ok
