split,image,cell_id,bbox,frac_on_cell,label,path,best_slice,best_transform,align_score,nii_status,relabel,frac_recalc,inter_px
train,2022_03_21_11_02_58_05,1,"(6, 1043, 121, 1096)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0001.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,2,"(22, 4, 78, 56)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0002.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,3,"(108, 807, 169, 843)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0003.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,4,"(126, 1981, 200, 2044)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0004.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,5,"(185, 512, 287, 602)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0005.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,6,"(235, 1287, 301, 1355)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0006.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,7,"(390, 940, 459, 993)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0007.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,8,"(411, 322, 421, 333)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0008.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,9,"(415, 98, 425, 108)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0009.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,10,"(457, 62, 465, 70)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0010.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,11,"(517, 1398, 584, 1458)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0011.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,12,"(521, 680, 580, 732)",0.8775083612040134,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_05_cell0012.png,0,transpose,2099,ok,1,0.8689700130378096,2666
train,2022_03_21_11_02_58_05,13,"(552, 1429, 616, 1489)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0013.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,14,"(618, 2011, 688, 2048)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0014.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,15,"(691, 1679, 765, 1752)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0015.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,16,"(781, 1053, 838, 1111)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0016.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,17,"(875, 41, 963, 157)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0017.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,18,"(909, 2023, 970, 2047)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0018.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,19,"(976, 1485, 1053, 1543)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0019.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_05,20,"(1011, 1114, 1081, 1186)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_05_cell0020.png,0,transpose,2099,ok,0,0.0,0
train,2022_03_21_11_02_58_14,1,"(0, 1503, 56, 1565)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0001.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,2,"(32, 1719, 95, 1784)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0002.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,3,"(55, 133, 113, 188)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0003.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,4,"(66, 376, 131, 438)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0004.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,5,"(69, 189, 144, 259)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0005.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,6,"(142, 1204, 204, 1247)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0006.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,7,"(194, 1817, 317, 1922)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0007.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,8,"(240, 329, 301, 378)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0008.png,0,transpose,1776,ok,0,0.0,0
