image,slice,transform,score,nii_status
2022_03_21_11_02_58_05,-1,NA,0,failed
2022_03_21_11_02_58_14,-1,NA,0,failed
2022_03_21_11_02_58_22,-1,NA,0,failed
2022_03_21_11_02_58_31,-1,NA,0,failed
2022_03_21_11_02_58_39,-1,NA,0,failed
2022_03_21_11_02_58_47,-1,NA,0,failed
2022_03_21_11_02_58_56,-1,NA,0,failed
2022_03_21_11_02_58_64,-1,NA,0,failed
2022_03_21_11_02_58_72,-1,NA,0,failed
2022_03_21_11_02_58_89,-1,NA,0,failed
2022_03_21_11_02_58_98,-1,NA,0,failed
2022_03_21_11_02_59_14,-1,NA,0,failed
2022_03_21_11_02_59_23,-1,NA,0,failed
2022_03_21_11_02_59_32,-1,NA,0,failed
2022_03_21_11_02_59_40,-1,NA,0,failed
2022_03_21_11_02_59_48,-1,NA,0,failed
2022_03_21_11_02_59_57,-1,NA,0,failed
2022_03_21_11_02_59_65,-1,NA,0,failed
2022_03_21_11_02_59_73,-1,NA,0,failed
2022_03_21_11_02_59_82,-1,NA,0,failed
2022_03_21_11_02_59_90,-1,NA,0,failed
2022_03_21_11_02_59_98,-1,NA,0,failed
2022_03_21_11_03_00_36,-1,NA,0,failed
2022_03_21_11_03_00_42,-1,NA,0,failed
2022_03_21_11_03_00_49,-1,NA,0,failed
2022_03_21_11_03_00_57,-1,NA,0,failed
2022_03_21_11_03_00_65,-1,NA,0,failed
2022_03_21_11_03_00_73,-1,NA,0,failed
2022_03_21_11_03_00_82,-1,NA,0,failed
2022_03_21_11_03_00_90,-1,NA,0,failed
2022_03_21_11_03_00_98,-1,NA,0,failed
2022_03_21_11_03_01_07,-1,NA,0,failed
2022_03_21_11_03_01_15,-1,NA,0,failed
2022_03_21_11_03_01_23,-1,NA,0,failed
2022_03_21_11_03_01_32,-1,NA,0,failed
2022_03_21_11_03_01_40,-1,NA,0,failed
2022_03_21_11_03_01_57,-1,NA,0,failed
2022_03_21_11_03_01_70,-1,NA,0,failed
2022_03_21_11_03_01_77,-1,NA,0,failed
2022_03_21_11_03_01_84,-1,NA,0,failed
2022_03_21_11_03_01_90,-1,NA,0,failed
2022_03_21_11_03_02_11,-1,NA,0,failed
2022_03_21_11_03_02_17,-1,NA,0,failed
2022_03_21_11_03_02_31,-1,NA,0,failed
2022_03_21_11_03_02_39,-1,NA,0,failed
2022_03_21_11_03_02_47,-1,NA,0,failed
2022_03_21_11_03_02_56,-1,NA,0,failed
2022_03_21_11_03_02_72,-1,NA,0,failed
2022_03_21_11_03_02_81,-1,NA,0,failed
2022_03_21_11_03_02_89,-1,NA,0,failed
2022_03_21_11_03_02_97,-1,NA,0,failed
2022_03_21_11_03_03_06,-1,NA,0,failed
2022_03_21_11_03_03_14,-1,NA,0,failed
2022_03_21_11_03_03_23,-1,NA,0,failed
2022_03_21_11_03_03_31,-1,NA,0,failed
2022_03_21_11_03_03_40,-1,NA,0,failed
2022_03_21_11_03_03_48,-1,NA,0,failed
2022_03_21_11_03_03_56,-1,NA,0,failed
2022_03_21_11_03_03_65,-1,NA,0,failed
2022_03_21_11_03_03_73,-1,NA,0,failed
2022_03_21_11_03_03_82,-1,NA,0,failed
2022_03_21_11_03_03_90,-1,NA,0,failed
2022_03_21_11_03_04_05,-1,NA,0,failed
2022_03_21_11_03_04_13,-1,NA,0,failed
2022_03_21_11_03_04_19,-1,NA,0,failed
2022_03_21_11_03_04_26,-1,NA,0,failed
2022_03_21_11_03_04_33,-1,NA,0,failed
2022_03_21_11_03_04_46,-1,NA,0,failed
2022_03_21_11_03_04_52,-1,NA,0,failed
2022_03_21_11_03_04_60,-1,NA,0,failed
2022_03_21_11_03_04_73,-1,NA,0,failed
2022_03_21_11_03_04_79,-1,NA,0,failed
2022_03_21_11_03_04_93,-1,NA,0,failed
2022_03_21_11_03_05_06,-1,NA,0,failed
2022_03_21_11_03_05_20,-1,NA,0,failed
2022_03_21_11_03_05_26,-1,NA,0,failed
2022_03_21_11_03_05_34,-1,NA,0,failed
