fold,epoch,model,loss,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,learning_rate
0,1,swin-tiny,0.6137114576941305,0.5424528301886793,0.9273504273504274,0.07972079353416606,0.14682002706359945,217,17,2773,2505,0.0005061152562846902
0,2,swin-tiny,0.5792138301192935,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.0005061152562846902
0,3,swin-tiny,0.6859782074290194,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.0005061152562846902
1,1,swin-tiny,0.1559246496333915,0.9631712626995645,0.9687383699292892,0.9562821454812638,0.9624699574782769,2603,84,2706,119,2.8655425251531685e-06
1,2,swin-tiny,0.09489527601256685,0.9671625544267054,0.9796149490373726,0.9533431300514328,0.9663005026996835,2595,54,2736,127,2.8655425251531685e-06
1,3,swin-tiny,0.081073461685746,0.9669811320754716,0.9781626506024096,0.9544452608376194,0.9661584232056527,2598,58,2732,124,2.8655425251531685e-06
2,1,swin-tiny,0.6554911794040909,0.5061683599419449,0.0,0.0,0.0,0,0,2790,2722,0.000664446344059401
2,2,swin-tiny,0.6934121371353659,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.000664446344059401
2,3,swin-tiny,0.6933222042804879,0.5061683599419449,0.0,0.0,0.0,0,0,2790,2722,0.000664446344059401
3,1,swin-tiny,0.16948012190874995,0.9566400580551524,0.9509625862695241,0.9617927994121969,0.9563470319634704,2618,135,2655,104,0.0002561536575122301
3,2,swin-tiny,0.1367141893464688,0.9570029027576198,0.9751434034416826,0.9368111682586333,0.955593029792018,2550,65,2725,172,0.0002561536575122301
3,3,swin-tiny,0.12526595721315967,0.9626269956458636,0.9722222222222222,0.9515062454077884,0.9617526921648719,2590,74,2716,132,0.0002561536575122301
4,1,swin-tiny,0.13743419829264003,0.9653483309143687,0.9695732838589981,0.9599559147685526,0.9647406313457634,2613,82,2708,109,6.52040068464513e-06
4,2,swin-tiny,0.08501652941845779,0.9658925979680697,0.9731142643764003,0.9573842762674504,0.9651851851851851,2606,72,2718,116,6.52040068464513e-06
4,3,swin-tiny,0.06900441955811519,0.9682510885341074,0.9825691549829481,0.952608376193975,0.9673568364111174,2593,46,2744,129,6.52040068464513e-06
5,1,swin-tiny,0.7052710680466778,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.0006424595628677463
5,2,swin-tiny,0.6799857708556558,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.0006424595628677463
5,3,swin-tiny,0.6949656023082955,0.5061683599419449,0.0,0.0,0.0,0,0,2790,2722,0.0006424595628677463
6,1,swin-tiny,0.6659332342845954,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.0007186825304215979
6,2,swin-tiny,0.6940172082799958,0.5061683599419449,0.0,0.0,0.0,0,0,2790,2722,0.0007186825304215979
6,3,swin-tiny,0.6938055872225104,0.5061683599419449,0.0,0.0,0.0,0,0,2790,2722,0.0007186825304215979
7,1,swin-tiny,0.11841913007594461,0.9624455732946299,0.9567744278968399,0.967670830271859,0.9621917808219178,2634,119,2671,88,5.616640182548681e-05
7,2,swin-tiny,0.07905398562539731,0.9669811320754716,0.9858454475899006,0.946730345334313,0.9658920539730135,2577,37,2753,145,5.616640182548681e-05
7,3,swin-tiny,0.06044580284646322,0.9644412191582002,0.9501069137562367,0.9794268919911829,0.9645441389290883,2666,140,2650,56,5.616640182548681e-05
8,1,swin-tiny,0.6906960785864745,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.00046247281727566605
8,2,swin-tiny,0.6937900112052441,0.5061683599419449,0.0,0.0,0.0,0,0,2790,2722,0.00046247281727566605
8,3,swin-tiny,0.6935334992858598,0.49383164005805513,0.49383164005805513,1.0,0.6611610395919358,2722,2790,0,0,0.00046247281727566605
9,1,swin-tiny,0.1562003260951473,0.9539187227866474,0.9614809274495139,0.9445260837619398,0.9529280948851001,2571,103,2687,151,0.0001905228355993809
9,2,swin-tiny,0.12080160447691009,0.9593613933236574,0.9598674521354934,0.9577516531961793,0.958808385435822,2607,109,2681,115,0.0001905228355993809
9,3,swin-tiny,0.10748472986121071,0.9611756168359942,0.9634146341463414,0.9577516531961793,0.9605747973470892,2607,99,2691,115,0.0001905228355993809
