nome_da_imagem,caminho_da_imagem,coordenadas_poligonos,descricao_imagem
2022_03_21_11_02_58_05.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_05.bmp,"[{""poligono_xy"": [[41, 22], [53, 14], [62, 17], [68, 27], [62, 37], [50, 38], [41, 30]]}, {""poligono_xy"": [[100, 85], [118, 79], [130, 86], [135, 99], [125, 109], [110, 106], [100, 98]]}, {""poligono_xy"": [[160, 355], [175, 345], [190, 348], [200, 360], [192, 375], [175, 375], [162, 365]]}, {""poligono_xy"": [[215, 470], [235, 460], [250, 465], [260, 480], [250, 495], [230, 495], [215, 485]]}, {""poligono_xy"": [[280, 100], [295, 90], [310, 92], [320, 105], [315, 120], [295, 120], [280, 110]]}, {""poligono_xy"": [[340, 405], [360, 395], [380, 400], [390, 415], [380, 430], [360, 430], [345, 420]]}, {""poligono_xy"": [[400, 200], [415, 190], [430, 195], [440, 210], [430, 225], [410, 225], [400, 215]]}, {""poligono_xy"": [[460, 50], [480, 40], [500, 45], [515, 60], [500, 75], [475, 75], [460, 65]]}, {""poligono_xy"": [[530, 280], [550, 270], [570, 275], [580, 290], [570, 305], [550, 305], [535, 295]]}, {""poligono_xy"": [[590, 480], [610, 470], [630, 475], [645, 490], [635, 505], [610, 505], [590, 495]]}, {""poligono_xy"": [[660, 120], [680, 110], [700, 115], [710, 130], [700, 145], [675, 145], [660, 135]]}, {""poligono_xy"": [[730, 350], [750, 340], [770, 345], [780, 360], [770, 375], [745, 375], [730, 365]]}]",Imagem de microscopia de campo claro com células esféricas de baixo contraste em um fundo com alguns detritos. A imagem apresenta um nível de ruído moderado.
2022_03_21_11_02_58_14.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_14.bmp,"[{""poligono_xy"": [[42, 46], [62, 34], [78, 42], [70, 60], [50, 68], [34, 58]]}, {""poligono_xy"": [[100, 105], [128, 95], [145, 115], [135, 140], [108, 145], [88, 128]]}, {""poligono_xy"": [[20, 120], [35, 100], [55, 110], [50, 135], [30, 145], [15, 135]]}, {""poligono_xy"": [[180, 160], [200, 145], [220, 160], [210, 180], [185, 188], [165, 175]]}, {""poligono_xy"": [[250, 40], [270, 30], [290, 45], [280, 65], [255, 65], [240, 50]]}, {""poligono_xy"": [[140, 560], [160, 540], [185, 560], [180, 590], [155, 600], [130, 580]]}, {""poligono_xy"": [[450, 600], [475, 585], [500, 605], [495, 630], [465, 640], [440, 620]]}, {""poligono_xy"": [[580, 80], [600, 65], [625, 85], [615, 110], [590, 115], [570, 95]]}, {""poligono_xy"": [[680, 200], [705, 180], [730, 200], [725, 230], [700, 240], [675, 220]]}, {""poligono_xy"": [[800, 600], [825, 580], [850, 600], [840, 630], [815, 640], [790, 620]]}, {""poligono_xy"": [[20, 580], [40, 560], [65, 575], [60, 600], [40, 610], [20, 595]]}, {""poligono_xy"": [[350, 380], [370, 365], [390, 380], [380, 405], [360, 410], [340, 395]]}, {""poligono_xy"": [[50, 320], [75, 300], [100, 320], [90, 350], [65, 355], [45, 335]]}, {""poligono_xy"": [[45, 450], [65, 430], [85, 450], [80, 475], [60, 485], [40, 465]]}, {""poligono_xy"": [[250, 200], [270, 185], [295, 205], [285, 230], [260, 235], [240, 215]]}]","Imagem de microscopia de campo claro com células de formato aproximadamente elíptico, possivelmente leveduras, com baixo contraste e variabilidade de tamanho. Presença de ruído e artefatos no fundo."
2022_03_21_11_02_58_22.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_22.bmp,"[{""poligono_xy"": [[92, 72], [112, 62], [128, 72], [128, 92], [112, 100], [88, 92]]}, {""poligono_xy"": [[216, 80], [236, 76], [252, 88], [252, 108], [236, 116], [212, 108]]}, {""poligono_xy"": [[260, 84], [276, 80], [292, 92], [296, 108], [280, 120], [260, 112]]}, {""poligono_xy"": [[52, 536], [72, 528], [92, 540], [96, 564], [80, 580], [56, 568]]}, {""poligono_xy"": [[188, 568], [212, 560], [232, 576], [236, 596], [216, 612], [184, 600]]}, {""poligono_xy"": [[420, 592], [444, 584], [468, 600], [476, 620], [456, 636], [424, 624]]}, {""poligono_xy"": [[584, 600], [608, 592], [632, 608], [640, 628], [620, 644], [588, 632]]}, {""poligono_xy"": [[704, 624], [728, 616], [752, 632], [760, 652], [736, 668], [708, 656]]}, {""poligono_xy"": [[840, 648], [864, 640], [888, 656], [896, 676], [872, 692], [844, 680]]}, {""poligono_xy"": [[88, 720], [108, 712], [128, 728], [132, 748], [116, 764], [84, 752]]}, {""poligono_xy"": [[280, 744], [300, 736], [320, 752], [324, 772], [304, 788], [276, 776]]}, {""poligono_xy"": [[488, 760], [512, 752], [536, 768], [544, 788], [524, 804], [492, 792]]}, {""poligono_xy"": [[680, 784], [700, 776], [720, 792], [728, 812], [708, 828], [684, 816]]}, {""poligono_xy"": [[864, 808], [884, 800], [904, 816], [912, 836], [892, 852], [868, 840]]}]",Imagem de microscopia de campo claro com células esféricas de baixo contraste em um fundo com alguns detritos. A imagem apresenta baixa resolução e algumas células estão fora de foco.
2022_03_21_11_02_58_31.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_31.bmp,"[{""poligono_xy"": [[77, 152], [92, 140], [105, 140], [117, 152], [115, 165], [102, 175], [88, 174], [76, 164]]}, {""poligono_xy"": [[328, 340], [345, 330], [362, 332], [375, 345], [370, 360], [355, 370], [337, 365]]}, {""poligono_xy"": [[450, 60], [465, 50], [480, 55], [492, 65], [488, 80], [472, 88], [458, 85], [448, 75]]}, {""poligono_xy"": [[585, 880], [600, 870], [615, 872], [628, 885], [625, 900], [608, 908], [595, 905], [582, 895]]}, {""poligono_xy"": [[705, 205], [720, 195], [732, 198], [745, 210], [740, 225], [725, 235], [712, 230], [700, 220]]}, {""poligono_xy"": [[880, 780], [895, 770], [910, 775], [920, 785], [915, 800], [900, 810], [885, 805], [875, 792]]}, {""poligono_xy"": [[90, 885], [105, 872], [120, 875], [130, 890], [125, 905], [110, 915], [97, 910]]}, {""poligono_xy"": [[280, 605], [292, 595], [305, 598], [315, 610], [310, 622], [295, 630], [285, 625]]}, {""poligono_xy"": [[855, 285], [870, 275], [885, 280], [895, 290], [890, 305], [875, 312], [862, 308], [850, 295]]}]",Imagem de microscopia de campo claro com células esféricas de baixo contraste em um fundo cinza. A imagem apresenta ruído e alguns artefatos. Possível presença de debris.
2022_03_21_11_02_58_39.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_39.bmp,"[{""poligono_xy"": [[24, 18], [40, 18], [40, 34], [24, 34]]}, {""poligono_xy"": [[15, 52], [30, 52], [30, 67], [15, 67]]}, {""poligono_xy"": [[158, 28], [174, 28], [174, 44], [158, 44]]}, {""poligono_xy"": [[20, 150], [40, 150], [40, 170], [20, 170]]}, {""poligono_xy"": [[60, 200], [80, 200], [80, 220], [60, 220]]}, {""poligono_xy"": [[100, 240], [120, 240], [120, 260], [100, 260]]}, {""poligono_xy"": [[140, 280], [160, 280], [160, 300], [140, 300]]}, {""poligono_xy"": [[180, 320], [200, 320], [200, 340], [180, 340]]}, {""poligono_xy"": [[220, 360], [240, 360], [240, 380], [220, 380]]}, {""poligono_xy"": [[250, 100], [270, 100], [270, 120], [250, 120]]}, {""poligono_xy"": [[300, 150], [320, 150], [320, 170], [300, 170]]}, {""poligono_xy"": [[350, 200], [370, 200], [370, 220], [350, 220]]}, {""poligono_xy"": [[380, 50], [400, 50], [400, 70], [380, 70]]}, {""poligono_xy"": [[420, 10], [440, 10], [440, 30], [420, 30]]}, {""poligono_xy"": [[450, 250], [470, 250], [470, 270], [450, 270]]}, {""poligono_xy"": [[480, 300], [500, 300], [500, 320], [480, 320]]}]","Imagem de microscopia de campo claro com células esféricas, possivelmente leveduras ou células em suspensão, com baixo contraste e alguns detritos no fundo. A imagem apresenta um nível de ruído que dificulta a segmentação precisa."
2022_03_21_11_02_58_47.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_47.bmp,"[{""poligono_xy"": [[170, 45], [185, 35], [200, 35], [215, 45], [215, 65], [200, 75], [185, 75], [170, 65]]}, {""poligono_xy"": [[290, 140], [305, 130], [325, 130], [340, 145], [340, 160], [325, 175], [305, 175], [290, 160]]}, {""poligono_xy"": [[390, 315], [405, 300], [425, 300], [440, 315], [440, 335], [425, 350], [405, 350], [390, 335]]}, {""poligono_xy"": [[495, 455], [510, 440], [530, 440], [545, 455], [545, 475], [530, 490], [510, 490], [495, 475]]}, {""poligono_xy"": [[600, 565], [620, 550], [640, 550], [660, 565], [660, 590], [640, 605], [620, 605], [600, 590]]}, {""poligono_xy"": [[720, 810], [740, 795], [765, 795], [785, 810], [785, 835], [765, 850], [740, 850], [720, 835]]}, {""poligono_xy"": [[825, 890], [845, 875], [870, 875], [890, 890], [890, 915], [870, 930], [845, 930], [825, 915]]}, {""poligono_xy"": [[895, 780], [910, 765], [930, 765], [945, 780], [945, 800], [930, 815], [910, 815], [895, 800]]}, {""poligono_xy"": [[75, 895], [90, 880], [110, 880], [125, 895], [125, 915], [110, 930], [90, 930], [75, 915]]}, {""poligono_xy"": [[50, 705], [70, 690], [95, 690], [115, 705], [115, 730], [95, 745], [70, 745], [50, 730]]}]",Imagem de microscopia de campo claro com células esféricas de baixo contraste em um fundo com ruído. A imagem apresenta artefatos e algumas células estão fora de foco.
2022_03_21_11_02_58_56.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_56.bmp,"[{""poligono_xy"": [[100, 200], [115, 200], [120, 210], [120, 220], [110, 225], [100, 225], [95, 220], [95, 210]]}, {""poligono_xy"": [[250, 100], [260, 100], [265, 110], [265, 115], [260, 120], [250, 120], [245, 115], [245, 110]]}, {""poligono_xy"": [[400, 250], [415, 250], [420, 260], [420, 270], [410, 275], [400, 275], [395, 270], [395, 260]]}, {""poligono_xy"": [[550, 150], [565, 150], [570, 160], [570, 170], [560, 175], [550, 175], [545, 170], [545, 160]]}, {""poligono_xy"": [[650, 50], [660, 50], [665, 60], [665, 70], [660, 75], [650, 75], [645, 70], [645, 60]]}, {""poligono_xy"": [[750, 200], [760, 200], [765, 210], [765, 215], [760, 220], [750, 220], [745, 215], [745, 210]]}, {""poligono_xy"": [[300, 450], [315, 450], [320, 460], [320, 470], [310, 475], [300, 475], [295, 470], [295, 460]]}, {""poligono_xy"": [[450, 350], [460, 350], [465, 360], [465, 365], [460, 370], [450, 370], [445, 365], [445, 360]]}]","Imagem de microscopia de campo claro com células esféricas de baixo contraste, possivelmente leveduras, em meio líquido. A imagem apresenta ruído e alguns detritos. A segmentação foi realizada com base na forma e no contraste das células em relação ao fundo."
2022_03_21_11_02_58_64.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_64.bmp,"[{""poligono_xy"": [[72, 35], [88, 22], [105, 28], [108, 45], [95, 58], [76, 50]]}, {""poligono_xy"": [[45, 365], [65, 350], [88, 358], [95, 380], [75, 400], [50, 390]]}, {""poligono_xy"": [[150, 80], [170, 70], [190, 80], [195, 100], [175, 115], [150, 105]]}, {""poligono_xy"": [[200, 25], [225, 15], [250, 25], [255, 50], [230, 65], [205, 50]]}, {""poligono_xy"": [[280, 120], [300, 105], [320, 115], [325, 140], [300, 150], [280, 140]]}, {""poligono_xy"": [[295, 310], [320, 295], [345, 310], [350, 335], [325, 350], [300, 340]]}, {""poligono_xy"": [[355, 60], [380, 50], [405, 65], [405, 90], [380, 100], [355, 85]]}, {""poligono_xy"": [[420, 200], [445, 185], [470, 200], [475, 225], [450, 240], [425, 225]]}, {""poligono_xy"": [[450, 380], [475, 365], [500, 380], [505, 405], [480, 420], [455, 405]]}, {""poligono_xy"": [[520, 80], [545, 65], [570, 80], [575, 105], [550, 120], [525, 100]]}, {""poligono_xy"": [[560, 250], [585, 235], [610, 250], [615, 275], [585, 290], [560, 270]]}, {""poligono_xy"": [[600, 395], [625, 380], [650, 400], [650, 420], [625, 435], [600, 420]]}, {""poligono_xy"": [[100, 200], [130, 190], [145, 220], [130, 245], [100, 240], [85, 215]]}, {""poligono_xy"": [[180, 370], [200, 350], [220, 360], [220, 390], [195, 410], [170, 395]]}]",Imagem de microscopia de campo claro com células de formato aproximadamente circular. Baixo contraste e presença de artefatos dificultam a segmentação precisa.
2022_03_21_11_02_58_72.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_72.bmp,"[{""poligono_xy"": [[77, 76], [92, 64], [109, 64], [120, 78], [112, 94], [95, 96], [81, 87]]}, {""poligono_xy"": [[28, 105], [48, 93], [63, 98], [71, 115], [61, 131], [42, 130], [28, 118]]}, {""poligono_xy"": [[158, 173], [177, 160], [195, 164], [209, 180], [200, 198], [178, 197], [162, 186]]}, {""poligono_xy"": [[330, 24], [349, 14], [368, 18], [380, 32], [370, 47], [349, 46], [334, 35]]}, {""poligono_xy"": [[448, 443], [465, 430], [485, 433], [500, 448], [490, 465], [468, 465], [451, 455]]}, {""poligono_xy"": [[579, 334], [597, 321], [616, 323], [631, 337], [622, 353], [600, 353], [583, 343]]}, {""poligono_xy"": [[700, 74], [718, 61], [739, 65], [753, 81], [742, 97], [720, 95], [704, 84]]}, {""poligono_xy"": [[851, 232], [870, 218], [890, 221], [904, 238], [893, 254], [871, 252], [855, 241]]}, {""poligono_xy"": [[922, 470], [940, 457], [959, 460], [973, 476], [963, 492], [942, 490], [926, 480]]}, {""poligono_xy"": [[262, 356], [278, 344], [295, 347], [308, 361], [298, 376], [279, 374], [265, 364]]}, {""poligono_xy"": [[425, 172], [445, 158], [467, 163], [483, 181], [470, 200], [445, 197], [428, 185]]}, {""poligono_xy"": [[555, 56], [578, 40], [600, 47], [617, 67], [602, 88], [574, 84], [556, 70]]}, {""poligono_xy"": [[805, 522], [827, 508], [850, 514], [866, 533], [853, 551], [828, 548], [810, 536]]}]",Imagem de microscopia de campo claro com células de formato aproximadamente circular. Baixo contraste e presença de artefatos. Possível presença de debris ou pequenas partículas fora de foco.
2022_03_21_11_02_58_89.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_89.bmp,"[{""poligono_xy"": [[52, 135], [70, 120], [90, 118], [105, 130], [95, 148], [72, 152]]}, {""poligono_xy"": [[45, 280], [70, 258], [98, 265], [110, 288], [90, 310], [60, 305]]}, {""poligono_xy"": [[150, 450], [175, 435], [200, 440], [215, 460], [195, 480], [165, 475]]}, {""poligono_xy"": [[255, 100], [275, 90], [300, 95], [315, 110], [300, 130], [270, 125]]}, {""poligono_xy"": [[280, 45], [300, 35], [325, 40], [340, 60], [320, 75], [295, 70]]}, {""poligono_xy"": [[355, 150], [380, 135], [410, 145], [425, 165], [400, 185], [370, 175]]}, {""poligono_xy"": [[450, 470], [480, 450], [510, 460], [525, 485], [500, 510], [465, 500]]}, {""poligono_xy"": [[560, 105], [585, 90], [610, 95], [630, 115], [610, 135], [580, 130]]}, {""poligono_xy"": [[670, 250], [700, 230], [730, 240], [745, 265], [720, 285], [690, 275]]}, {""poligono_xy"": [[750, 480], [780, 460], [810, 470], [820, 495], [800, 515], [770, 505]]}, {""poligono_xy"": [[850, 120], [870, 105], [895, 115], [910, 135], [890, 150], [865, 140]]}]","Imagem de microscopia de campo claro com células de formato variado, possivelmente leveduras, com baixo contraste e algumas sobreposições. Presença de detritos e ruído de fundo."
