fold,epoch,model,loss,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,learning_rate
1,1,SwinTransformer_Fold1,0.13895394290169782,96.78004535147392,0.9746893695352048,0.9605442176870749,0.9675650982183646,2118,55,2150,87,0.0001
1,2,SwinTransformer_Fold1,0.10126546057838731,96.48526077097506,0.9798689138576779,0.9492063492063492,0.9642939414881364,2093,43,2162,112,0.0001
1,3,SwinTransformer_Fold1,0.08500064157145233,97.2108843537415,0.9766483516483516,0.9673469387755103,0.9719753930280246,2133,51,2154,72,0.0001
1,4,SwinTransformer_Fold1,0.07175580244190802,96.07709750566893,0.9460052677787533,0.9773242630385488,0.9614097702431408,2155,123,2082,50,0.0001
1,5,SwinTransformer_Fold1,0.06160105258053248,97.14285714285714,0.9757437070938215,0.9668934240362812,0.9712984054669704,2132,53,2152,73,0.0001
1,6,SwinTransformer_Fold1,0.05315982714397462,96.78004535147392,0.9644304367402071,0.9714285714285714,0.9679168549480344,2142,79,2126,63,0.0001
1,7,SwinTransformer_Fold1,0.04492920789472418,96.5986394557823,0.9785747554727526,0.9528344671201814,0.9655330882352942,2101,46,2159,104,0.0001
1,8,SwinTransformer_Fold1,0.03596454779935943,96.73469387755102,0.9602501116569897,0.9750566893424036,0.9675967596759676,2150,89,2116,55,0.0001
1,9,SwinTransformer_Fold1,0.03057039904533799,96.4625850340136,0.9697386519944979,0.9591836734693877,0.9644322845417237,2115,66,2139,90,0.0001
1,10,SwinTransformer_Fold1,0.029847819850924745,96.30385487528345,0.9806967984934086,0.944671201814059,0.9623469623469624,2083,41,2164,122,0.0001
1,11,SwinTransformer_Fold1,0.012689436778205361,96.98412698412699,0.9713375796178344,0.9682539682539683,0.9697933227344993,2135,63,2142,70,1e-05
1,12,SwinTransformer_Fold1,0.00762606033767161,97.0294784580499,0.9743824336688015,0.9659863945578231,0.9701662491459804,2130,56,2149,75,1e-05
1,13,SwinTransformer_Fold1,0.006858797288813272,97.00680272108843,0.9692168401991852,0.9709750566893424,0.9700951517897598,2141,68,2137,64,1e-05
1,14,SwinTransformer_Fold1,0.004761738727850478,96.93877551020408,0.9730347349177331,0.9655328798185941,0.9692692920555429,2129,59,2146,76,1e-05
1,15,SwinTransformer_Fold1,0.00432070947944458,96.98412698412699,0.9704813805631244,0.9691609977324263,0.9698207397322441,2137,65,2140,68,1e-05
1,16,SwinTransformer_Fold1,0.003062245988870189,96.96145124716553,0.9691889442682374,0.9700680272108844,0.9696282864913871,2139,68,2137,66,1e-05
1,17,SwinTransformer_Fold1,0.0031013648400235265,97.05215419501134,0.9726651480637813,0.9682539682539683,0.9704545454545455,2135,60,2145,70,1e-05
1,18,SwinTransformer_Fold1,0.003529215204519895,97.14285714285714,0.9740082079343365,0.9687074829931973,0.9713506139154161,2136,57,2148,69,1e-05
1,19,SwinTransformer_Fold1,0.002566756704244772,97.0294784580499,0.9743824336688015,0.9659863945578231,0.9701662491459804,2130,56,2149,75,1e-05
1,20,SwinTransformer_Fold1,0.0017914865955874673,97.00680272108843,0.9730716567777271,0.9668934240362812,0.9699727024567789,2132,59,2146,73,1e-05
